,block,trial,img,isi,distractor
0,0,0,./stimuli/Gesicht.jpg,1.7569844111392974,0
1,0,1,./stimuli/Katze.jpg,2.879829818097935,0
2,0,2,./stimuli/Haus.jpg,3.012111347405609,1
3,0,3,./stimuli/Schuh.jpg,2.319258207420998,0
4,0,4,./stimuli/Katze.jpg,3.0666571606948922,1
5,0,5,./stimuli/Schuh.jpg,3.1753143637665175,0
6,0,6,./stimuli/Gesicht.jpg,2.442236334960827,0
7,0,7,./stimuli/Stuhl.jpg,2.243122904001208,1
8,0,8,./stimuli/Katze.jpg,3.1232507075203357,0
9,0,9,./stimuli/Gesicht.jpg,2.5669708693838094,0
10,0,10,./stimuli/Schuh.jpg,2.4965858891729025,1
11,0,11,./stimuli/Stuhl.jpg,3.0695657301361723,0
12,0,12,./stimuli/Schuh.jpg,2.5177815025744503,0
13,0,13,./stimuli/Haus.jpg,2.8085336293057774,0
14,0,14,./stimuli/Katze.jpg,1.7652314945016103,0
15,0,15,./stimuli/Stuhl.jpg,3.0060519992968837,0
16,0,16,./stimuli/Haus.jpg,2.3483673126474938,0
17,0,17,./stimuli/Stuhl.jpg,1.854961420653034,0
18,0,18,./stimuli/Gesicht.jpg,3.7057705949444726,1
19,0,19,./stimuli/Haus.jpg,2.814630854034554,0
20,1,0,./stimuli/Schuh.jpg,2.78126421665926,0
21,1,1,./stimuli/Gesicht.jpg,2.3862541685601357,1
22,1,2,./stimuli/Katze.jpg,1.4799423938088965,0
23,1,3,./stimuli/Stuhl.jpg,2.890785748656554,0
24,1,4,./stimuli/Gesicht.jpg,1.977556502405337,0
25,1,5,./stimuli/Schuh.jpg,2.612400056457125,1
26,1,6,./stimuli/Katze.jpg,2.012702739644525,0
27,1,7,./stimuli/Haus.jpg,2.417371272412821,0
28,1,8,./stimuli/Schuh.jpg,2.638662583472195,0
29,1,9,./stimuli/Stuhl.jpg,1.4566547278810191,0
30,1,10,./stimuli/Haus.jpg,2.37619388133608,1
31,1,11,./stimuli/Gesicht.jpg,2.002153797697019,0
32,1,12,./stimuli/Haus.jpg,2.402944543067538,0
33,1,13,./stimuli/Katze.jpg,2.5372590617639132,0
34,1,14,./stimuli/Gesicht.jpg,3.06460085746577,0
35,1,15,./stimuli/Stuhl.jpg,1.8526438549155197,0
36,1,16,./stimuli/Katze.jpg,2.5036719690260787,1
37,1,17,./stimuli/Schuh.jpg,2.5103051486738974,0
38,1,18,./stimuli/Haus.jpg,2.6775495828377687,0
39,1,19,./stimuli/Stuhl.jpg,3.3475409577287434,1
40,2,0,./stimuli/Stuhl.jpg,1.9121507448760267,1
41,2,1,./stimuli/Schuh.jpg,2.354935089486859,0
42,2,2,./stimuli/Haus.jpg,2.347231574599191,0
43,2,3,./stimuli/Schuh.jpg,2.479936096116656,0
44,2,4,./stimuli/Katze.jpg,2.9784731312678945,0
45,2,5,./stimuli/Schuh.jpg,3.2213084250240156,0
46,2,6,./stimuli/Gesicht.jpg,3.0962059399062545,0
47,2,7,./stimuli/Schuh.jpg,3.1013052635952065,1
48,2,8,./stimuli/Stuhl.jpg,1.8634960134452205,0
49,2,9,./stimuli/Gesicht.jpg,2.735763785536278,0
50,2,10,./stimuli/Haus.jpg,1.7306421256143554,0
51,2,11,./stimuli/Gesicht.jpg,2.460103764226,1
52,2,12,./stimuli/Stuhl.jpg,3.1302701272735862,0
53,2,13,./stimuli/Haus.jpg,1.9410356542435747,0
54,2,14,./stimuli/Stuhl.jpg,2.6328456332931736,0
55,2,15,./stimuli/Katze.jpg,1.5664172144037525,0
56,2,16,./stimuli/Haus.jpg,2.9465784504827304,1
57,2,17,./stimuli/Katze.jpg,2.4014354376743907,0
58,2,18,./stimuli/Gesicht.jpg,2.1213583808122576,0
59,2,19,./stimuli/Katze.jpg,2.1337306164535303,1
60,3,0,./stimuli/Gesicht.jpg,2.293668620715317,1
61,3,1,./stimuli/Stuhl.jpg,2.866053780135522,0
62,3,2,./stimuli/Haus.jpg,2.551948832406584,0
63,3,3,./stimuli/Katze.jpg,3.224300503209307,0
64,3,4,./stimuli/Stuhl.jpg,2.184880636478457,0
65,3,5,./stimuli/Katze.jpg,1.8989972973194869,0
66,3,6,./stimuli/Schuh.jpg,2.948082169974111,0
67,3,7,./stimuli/Katze.jpg,2.3013871382399387,1
68,3,8,./stimuli/Haus.jpg,1.8526430513579966,0
69,3,9,./stimuli/Schuh.jpg,1.8834379741861942,1
70,3,10,./stimuli/Gesicht.jpg,2.889643890539887,0
71,3,11,./stimuli/Katze.jpg,2.1257665206160614,0
72,3,12,./stimuli/Gesicht.jpg,2.4573201384200223,0
73,3,13,./stimuli/Haus.jpg,1.8033212738536788,0
74,3,14,./stimuli/Stuhl.jpg,1.9136373771800803,1
75,3,15,./stimuli/Schuh.jpg,2.1024859687822826,0
76,3,16,./stimuli/Stuhl.jpg,2.8935140176572958,0
77,3,17,./stimuli/Gesicht.jpg,2.5695667058347658,0
78,3,18,./stimuli/Schuh.jpg,3.122699777274601,0
79,3,19,./stimuli/Haus.jpg,2.5110362865087485,1
80,4,0,./stimuli/Schuh.jpg,2.6177227568144943,0
81,4,1,./stimuli/Haus.jpg,2.248142835250867,1
82,4,2,./stimuli/Schuh.jpg,1.2617672956893224,0
83,4,3,./stimuli/Stuhl.jpg,2.242615853302765,0
84,4,4,./stimuli/Haus.jpg,2.838040164548598,0
85,4,5,./stimuli/Stuhl.jpg,2.5081257066254614,1
86,4,6,./stimuli/Gesicht.jpg,2.812731586087996,0
87,4,7,./stimuli/Schuh.jpg,1.8576305581344816,1
88,4,8,./stimuli/Gesicht.jpg,2.299912720019223,1
